year,species,lc_doy,lf_doy,sd_lc_doy,sd_lf_doy
2002,QUVE,289,303,9.906731613,9.935364003
2003,QUVE,285,293,3.256414167,1.293513975
2004,QUVE,285,296,6.829300521,9.698108876
2005,QUVE,289,300,5.258366449,5.664835451
2006,QUVE,277,288,5.072583762,7.742022053
2007,QUVE,285,295,3.730346072,5.173468685
2008,QUVE,282,293,3.515334934,5.973768171
2009,QUVE,285,296,5.026919654,5.005562624
2010,QUVE,283,295,14.27272402,11.01402759
2011,QUVE,288,300,7.23556582,7.11406053
2012,QUVE,284,293,2.319123296,1.313527069
2013,QUVE,281,290,5.046316996,4.507990193
2014,QUVE,282,292,2.003392322,5.116447604
2015,QUVE,289,302,13.15143605,9.439040034
2016,QUVE,288,299,13.01262909,12.64556855
2017,QUVE,290,300,18.86301261,20.35808316
2018,QUVE,293,304,19.37744719,15.07218306
2019,QUVE,281,295,3.514719381,5.896411308
2020,QUVE,288,299,10.82612938,9.1006326
2021,QUVE,288,302,4.282097108,3.828164867
2022,QUVE,283,294,3.050671414,3.760705604
1991,RHSP,261,279,3.442541483,6.351002185
1992,RHSP,278,285,6.368419861,6.641555385
1993,RHSP,265,277,5.59794639,5.969245852
1994,RHSP,265,270,1.953009843,4.406077258
1995,RHSP,264,271,8.08944022,10.21499652
1996,RHSP,275,282,1.411699197,4.005807521
1997,RHSP,280,290,8.054197737,7.642126792
1998,RHSP,271,274,2.309416604,7.303144564
1999,RHSP,278,277,5.318597807,12.68940327
2000,RHSP,269,273,9.792701629,12.41961703
2001,RHSP,271,276,6.978998485,2.526859539
1991,SAPU,284,298,8.30143116,5.440007723
1992,SAPU,NA,295,1.713351107,2.257857157
1993,SAPU,303,304,6.561704502,7.240645931
1994,SAPU,298,306,8.721558444,2.471912713
1995,SAPU,287,305,7.801803122,4.939721553
1996,SAPU,295,301,4.185433602,5.274284713
1997,SAPU,284,299,1.840807118,1.055696583
1998,SAPU,281,300,10.29023219,3.925980228
1999,SAPU,285,289,2.230656077,0.293623397
2000,SAPU,282,293,11.35300694,8.013058543
2001,SAPU,287,292,4.603662567,8.171966218
1991,TSCA,288,291,9.314550241,5.217131915
1992,TSCA,NA,288,4.727539087,10.24235151
1993,TSCA,285,286,2.042869525,1.893792126
1994,TSCA,264,267,12.25176078,5.320864222
1995,TSCA,270,279,3.663709413,6.607715254
1996,TSCA,280,288,1.911989803,4.251308357
1997,TSCA,271,284,7.069914265,1.454179955
1998,TSCA,271,276,6.759451605,8.398011748
1999,TSCA,293,298,3.274856845,3.190705371
2000,TSCA,275,278,3.749996729,2.354194394
2001,TSCA,255,266,1.412458117,3.045649397
1997,VAC0,NA,NA,2.774995403,0.8958836
1998,VAC0,NA,NA,11.89321703,9.711858801
1991,VACO,281,293,8.112701505,10.87711404
1992,VACO,285,290,6.551917179,6.999548665
1993,VACO,281,295,3.260281712,3.620557804
1994,VACO,281,292,1.588224427,4.806898271
1995,VACO,284,293,7.440398545,4.255381415
1996,VACO,287,295,3.692684085,7.057012151
1997,VACO,287,302,6.65491384,3.07128664
1998,VACO,288,298,7.674527031,7.609605771
1999,VACO,287,297,6.858446737,10.49317643
2000,VACO,284,290,3.994818528,3.33257142
2001,VACO,290,299,1.676742247,3.186158533
1991,VIAL,274,286,7.762949113,10.38898448
1992,VIAL,284,289,13.54848889,9.975544048
1993,VIAL,277,284,15.23585027,13.7659781
1994,VIAL,272,287,5.829217829,7.036747486
1995,VIAL,267,276,9.988198051,13.26061282
1996,VIAL,281,291,8.696484028,11.47843464
1997,VIAL,279,289,3.027932816,7.869991531
1998,VIAL,275,289,9.049884967,11.08042437
1999,VIAL,281,294,2.875474609,3.621754367
2000,VIAL,283,292,2.120624904,6.452696828
2001,VIAL,282,292,5.04310938,0.604874925
1991,VICA,283,299,3.69327254,3.062919048
1992,VICA,NA,297,2.593308304,1.304035989
1993,VICA,278,292,2.509489873,1.992964435
1994,VICA,286,298,4.798028276,1.818555216
1995,VICA,278,282,11.92014581,7.709682045
1996,VICA,290,300,17.98524484,13.40670554
1997,VICA,290,305,1.411951149,1.017866771
1998,VICA,290,301,6.132829742,3.00038471
1999,VICA,291,302,9.533165059,6.123462354
2000,VICA,284,300,3.579402837,1.953953398
2001,VICA,292,302,8.19185541,5.515123531
